# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\github\qspi_trial\coral_hd_tst.csv
# Generated on: Tue Mar 29 11:57:23 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ENC_CNTA,Input,PIN_M2,2,B2_N0,2.5 V,,,,,
ENC_CNTB,Input,PIN_K2,2,B2_N0,2.5 V,,,,,
ENC_MKR,Input,PIN_L2,2,B2_N0,2.5 V,,,,,
ENC_SEL2X,Output,PIN_T7,3,B3_N0,2.5 V,,,,,
ENC_SEL4X,Output,PIN_M8,3,B3_N0,2.5 V,,,,,
ENET_COL,Input,PIN_C10,8,B8_N0,3.3-V LVCMOS,,,,,
ENET_CRS,Input,PIN_B9,8,B8_N0,3.3-V LVCMOS,,,,,
ENET_MDC,Output,PIN_E10,7,B7_N0,3.3-V LVCMOS,,,,,
ENET_MDIO,Bidir,PIN_C9,8,B8_N0,3.3-V LVCMOS,,,,,
ENET_RXD[3],Input,PIN_B12,8,B8_N0,3.3-V LVCMOS,,,,,
ENET_RXD[2],Input,PIN_A11,8,B8_N0,3.3-V LVCMOS,,,,,
ENET_RXD[1],Input,PIN_B11,8,B8_N0,3.3-V LVCMOS,,,,,
ENET_RXD[0],Input,PIN_A10,8,B8_N0,3.3-V LVCMOS,,,,,
